track_id,track_name,artist_name,album,release_date,album_image_url,spotify_url,bpm
0OQF6YgMW5gOe8k4wfvLRJ,Ready For More,Korolova,Ready For More,2021-12-10,https://i.scdn.co/image/ab67616d0000b273fa9c1a977cd5086e39070916,https://open.spotify.com/track/0OQF6YgMW5gOe8k4wfvLRJ,
4io4CQ89K9w8z623duQVAX,Annihilation - Radio Edit,RoelBeat,Annihilation,2021-04-09,https://i.scdn.co/image/ab67616d0000b2733cf6a77d7102e32ea2a8672b,https://open.spotify.com/track/4io4CQ89K9w8z623duQVAX,
3WJJk1goyW5chCYFe85H9s,Instant,Arude,Instant,2020-08-14,https://i.scdn.co/image/ab67616d0000b273b670d256898ca013845eb184,https://open.spotify.com/track/3WJJk1goyW5chCYFe85H9s,
1JgOrERvvcWRW1gxUn2QJK,For You - Extended Mix,Austin Pettit,For You,2022-03-04,https://i.scdn.co/image/ab67616d0000b2737537aa1737b4993a76b231d1,https://open.spotify.com/track/1JgOrERvvcWRW1gxUn2QJK,
3WdzsAb3OzEBrQArVgrmSA,The Loved Are Never Lost,Trilucid,The Loved Are Never Lost,2022-07-15,https://i.scdn.co/image/ab67616d0000b2736e9f7fc2a355bc073819784e,https://open.spotify.com/track/3WdzsAb3OzEBrQArVgrmSA,
7EpvUIMMbp42BG3IPAz0Ea,Warp Speed - Radio Edit,Marksman,Warp Speed,2021-12-10,https://i.scdn.co/image/ab67616d0000b273eb775aefe382c71a976769b9,https://open.spotify.com/track/7EpvUIMMbp42BG3IPAz0Ea,
7FMdqH7LpnfdZK7vMwzOAQ,Requiem,Bound to Divide,Coming Home / Requiem,2021-11-17,https://i.scdn.co/image/ab67616d0000b273018bf74bc34877518a147364,https://open.spotify.com/track/7FMdqH7LpnfdZK7vMwzOAQ,
03VvQ3Pj4ji8gRCexcdpT4,Rover,Two Are,Rover,2022-07-22,https://i.scdn.co/image/ab67616d0000b27333d2a80ba94999f9d39c02a4,https://open.spotify.com/track/03VvQ3Pj4ji8gRCexcdpT4,
3K1Q6LjDlTCCtjTt3THO2o,Hera,D-Formation,Ares Hera,2021-08-05,https://i.scdn.co/image/ab67616d0000b273aa384120bbd78e9d5931fb03,https://open.spotify.com/track/3K1Q6LjDlTCCtjTt3THO2o,
5x6sZ6mz23tTf7lCCa7F7A,Azurblau,GIGEE,Berlin,2022-03-11,https://i.scdn.co/image/ab67616d0000b2730a6314f05e52d68a1aed0e15,https://open.spotify.com/track/5x6sZ6mz23tTf7lCCa7F7A,
